Origin,Destination,Dept_Date,Dept_Time,Arr_Time,Total_Fare,Base_Fare,Fuel_Fare,Airways,Available,Duration,Class_Type,Flight Number,Flight Code,FlightID,Hopping,Taken
BLR,DEL,2018-11-13T23:30:00Z,23:30,2:20,7517,6450,796,IndiGo,1,2h 50m,Economy,2484,6E,6E_2484_,FALSE,13-11-2018
BLR,DEL,2018-11-13T09:35:00Z,9:35,12:30,7806,7025,460,Spicejet,9,2h 55m,Economy,192,SG,SG_192_,FALSE,13-11-2018
BLR,DEL,2018-11-13T16:50:00Z,16:50,21:35,7888,6755,862,IndiGo,13,4h 45m,Economy,427_ 202,6E,6E_427_ 202_,FALSE,13-11-2018
BLR,DEL,2018-11-13T23:25:00Z,23:25,2:10,8009,7195,661,AirAsia,11,2h 45m,Economy,722,I5,I5_722_,FALSE,13-11-2018
BLR,DEL,2018-11-13T17:00:00Z,17:00,19:45,8041,6950,820,IndiGo,3,2h 45m,Economy,2988,6E,6E_2988_,FALSE,13-11-2018
BLR,DEL,2018-11-13T18:55:00Z,18:55,21:45,8041,6950,820,IndiGo,73,2h 50m,Economy,2808,6E,6E_2808_,FALSE,13-11-2018
BLR,DEL,2018-11-13T20:30:00Z,20:30,23:20,8041,7250,470,Spicejet,9,2h 50m,Economy,198,SG,SG_198_,FALSE,13-11-2018
BLR,DEL,2018-11-13T10:05:00Z,10:05,13:00,8041,6950,820,IndiGo,24,2h 55m,Economy,2943,6E,6E_2943_,FALSE,13-11-2018
BLR,DEL,2018-11-13T18:25:00Z,18:25,21:20,8041,6950,820,IndiGo,66,2h 55m,Economy,2783,6E,6E_2783_,FALSE,13-11-2018
BLR,DEL,2018-11-13T10:00:00Z,10:00,12:45,8326,7600,454,Air India,4,2h 45m,Economy,505,AI,AI_505_,FALSE,13-11-2018
BLR,DEL,2018-11-13T21:10:00Z,21:10,23:55,8326,7600,454,Air India,9,2h 45m,Economy,173,AI,AI_173_,FALSE,13-11-2018
BLR,DEL,2018-11-13T17:00:00Z,17:00,19:50,8326,7600,454,Air India,1,2h 50m,Economy,503,AI,AI_503_,FALSE,13-11-2018
BLR,DEL,2018-11-13T05:45:00Z,5:45,8:45,8326,7600,454,Air India,9,3h 0m,Economy,804,AI,AI_804_,FALSE,13-11-2018
BLR,DEL,2018-11-13T15:50:00Z,15:50,18:35,8436,6450,1589,Jet Airways,1,2h 45m,Economy,808,9W,9W_808_,FALSE,13-11-2018
BLR,DEL,2018-11-13T11:10:00Z,11:10,14:05,8436,6450,1589,Jet Airways,7,2h 55m,Economy,820,9W,9W_820_,FALSE,13-11-2018
BLR,DEL,2018-11-13T18:55:00Z,18:55,21:55,8436,6450,1589,Jet Airways,7,3h 0m,Economy,833,9W,9W_833_,FALSE,13-11-2018
BLR,DEL,2018-11-13T11:30:00Z,11:30,14:10,8448,7600,526,Vistara,9,2h 40m,Economy,816,UK,UK_816_,FALSE,13-11-2018
BLR,DEL,2018-11-13T19:40:00Z,19:40,22:20,8448,7600,526,Vistara,2,2h 40m,Economy,818,UK,UK_818_,FALSE,13-11-2018
BLR,DEL,2018-11-13T09:50:00Z,9:50,12:35,8448,7600,526,Vistara,9,2h 45m,Economy,812,UK,UK_812_,FALSE,13-11-2018
BLR,DEL,2018-11-13T21:10:00Z,21:10,0:05,8448,7600,526,Vistara,9,2h 55m,Economy,814,UK,UK_814_,FALSE,13-11-2018
BLR,DEL,2018-11-13T04:55:00Z,4:55,7:35,8889,8033,703,AirAsia,9,2h 40m,Economy,2878,I5,I5_2878_,FALSE,13-11-2018
BLR,DEL,2018-11-13T16:55:00Z,16:55,21:50,8933,7550,1112,IndiGo,2,4h 55m,Economy,684_ 6684,6E,6E_684_ 6684_,FALSE,13-11-2018
BLR,DEL,2018-11-13T05:45:00Z,5:45,8:35,9039,8200,518,Spicejet,9,2h 50m,Economy,136,SG,SG_136_,FALSE,13-11-2018
BLR,DEL,2018-11-13T19:55:00Z,19:55,22:30,9591,7550,1644,Jet Airways,4,2h 35m,Economy,812,9W,9W_812_,FALSE,13-11-2018
BLR,DEL,2018-11-13T07:10:00Z,7:10,9:55,9591,7550,1644,Jet Airways,2,2h 45m,Economy,836,9W,9W_836_,FALSE,13-11-2018
BLR,DEL,2018-11-13T17:45:00Z,17:45,20:45,9591,7550,1644,Jet Airways,3,3h 0m,Economy,816,9W,9W_816_,FALSE,13-11-2018
BLR,HYD,2018-11-13T06:50:00Z,6:50,8:00,9790,8700,582,Air India,1,5h 25m,Economy,516,AI,AI_516_AI_543_,FALSE,13-11-2018
BLR,HYD,2018-11-13T06:50:00Z,6:50,8:00,10298,8700,582,Air India,1,11h 40m,Economy,516,AI,AI_516_AI_541_,TRUE,13-11-2018
BLR,HYD,2018-11-13T06:50:00Z,6:50,8:00,10298,8700,582,Air India,1,14h 35m,Economy,516,AI,AI_516_AI_840_,TRUE,13-11-2018
BLR,HYD,2018-11-13T06:50:00Z,6:50,8:00,10298,8700,582,Air India,1,16h 20m,Economy,516,AI,AI_516_AI_127_,TRUE,13-11-2018
BLR,COK,2018-11-13T08:15:00Z,8:15,9:35,10452,9400,544,Air India,1,15h 5m,Economy,9505,AI,AI_9505_AI_47_,TRUE,13-11-2018
BLR,DEL,2018-11-13T08:45:00Z,8:45,15:25,10613,8990,558,Spicejet,9,6h 40m,Economy,1063_ 124,SG,SG_1063_ 124_,FALSE,13-11-2018
BLR,DEL,2018-11-13T18:30:00Z,18:30,23:05,10644,9179,1194,IndiGo,1,4h 35m,Economy,847_ 447,6E,6E_847_ 447_,FALSE,13-11-2018
BLR,DEL,2018-11-13T18:30:00Z,18:30,23:05,10644,9179,1194,IndiGo,8,4h 35m,Economy,847_ 633,6E,6E_847_ 633_,FALSE,13-11-2018
BLR,DEL,2018-11-13T20:00:00Z,20:00,22:55,11122,9885,966,IndiGo,3,2h 55m,Economy,2716,6E,6E_2716_,FALSE,13-11-2018
BLR,DEL,2018-11-13T21:20:00Z,21:20,0:15,11122,9885,966,IndiGo,1,2h 55m,Economy,2305,6E,6E_2305_,FALSE,13-11-2018
BLR,DEL,2018-11-13T22:20:00Z,22:20,1:10,11648,10385,992,IndiGo,2,2h 50m,Economy,2289,6E,6E_2289_,FALSE,13-11-2018
BLR,VGA,2018-11-13T10:30:00Z,10:30,11:45,12473,11550,651,Air India,4,10h 55m,Economy,9540,AI,AI_9540_AI_840_,TRUE,13-11-2018
BLR,VGA,2018-11-13T10:30:00Z,10:30,11:45,12473,11550,651,Air India,4,12h 25m,Economy,9540,AI,AI_9540_AI_468_,TRUE,13-11-2018
BLR,AMD,2018-11-13T17:30:00Z,17:30,19:35,12843,11600,871,Vistara,3,4h 25m,Economy,925,UK,UK_925_UK_966_,FALSE,13-11-2018
BLR,AMD,2018-11-13T17:30:00Z,17:30,19:35,12843,11600,871,Vistara,3,16h 55m,Economy,925,UK,UK_925_UK_946_,FALSE,13-11-2018
BLR,AMD,2018-11-13T17:30:00Z,17:30,19:35,12843,11600,871,Vistara,3,19h 5m,Economy,925,UK,UK_925_UK_976_,FALSE,13-11-2018
BLR,DEL,2018-11-13T07:10:00Z,7:10,10:05,13760,12397,1092,IndiGo,4,2h 55m,Economy,2228,6E,6E_2228_,FALSE,13-11-2018
BLR,AMD,2018-11-13T06:40:00Z,6:40,8:40,13925,12630,923,Vistara,6,5h 55m,Economy,923,UK,UK_923_UK_976_,TRUE,13-11-2018
BLR,AMD,2018-11-13T06:40:00Z,6:40,8:40,13925,12630,923,Vistara,6,15h 15m,Economy,923,UK,UK_923_UK_966_,TRUE,13-11-2018
BLR,AMD,2018-11-13T06:40:00Z,6:40,8:40,13925,12630,923,Vistara,6,27h 45m,Economy,923,UK,UK_923_UK_946_,TRUE,13-11-2018
BLR,BOM,2018-11-13T17:25:00Z,17:25,19:00,14279,13200,807,Air India,1,5h 50m,Economy,608,AI,AI_608_AI_101_,FALSE,13-11-2018
BLR,BOM,2018-11-13T08:50:00Z,8:50,10:30,14279,13200,807,Air India,1,6h 25m,Economy,604,AI,AI_604_AI_677_,FALSE,13-11-2018
BLR,BOM,2018-11-13T08:50:00Z,8:50,10:30,14279,13200,807,Air India,1,10h 20m,Economy,604,AI,AI_604_AI_144_,TRUE,13-11-2018
BLR,BOM,2018-11-13T08:50:00Z,8:50,10:30,14279,13200,807,Air India,1,11h 35m,Economy,604,AI,AI_604_AI_660_,TRUE,13-11-2018
