Total_Fare,Airways,Duration,Hopping,Taken_Day,Dept_Day,Days_To_Dept,Session,FlightGroup
7517.0,2,170,0,4,5,0,1,7
7806.0,4,175,0,4,5,0,2,19
7888.0,2,285,0,4,5,0,0,6
8009.0,1,165,0,4,5,0,1,4
8041.0,2,165,0,4,5,0,0,6
8041.0,2,170,0,4,5,0,0,6
8041.0,4,170,0,4,5,0,1,18
8041.0,2,175,0,4,5,0,2,8
8041.0,2,175,0,4,5,0,0,6
8326.0,0,165,0,4,5,0,2,2
8326.0,0,165,0,4,5,0,1,1
8326.0,0,170,0,4,5,0,0,0
8326.0,0,180,0,4,5,0,3,3
8436.0,3,165,0,4,5,0,0,10
8436.0,3,175,0,4,5,0,2,12
8436.0,3,180,0,4,5,0,0,10
8448.0,6,160,0,4,5,0,2,22
8448.0,6,160,0,4,5,0,1,21
8448.0,6,165,0,4,5,0,2,22
8448.0,6,175,0,4,5,0,1,21
8889.0,1,160,0,4,5,0,3,5
8933.0,2,295,0,4,5,0,0,6
9039.0,4,170,0,4,5,0,3,20
9591.0,3,155,0,4,5,0,1,11
9591.0,3,165,0,4,5,0,2,12
9591.0,3,180,0,4,5,0,0,10
10613.0,4,400,0,4,5,0,2,19
10644.0,2,275,0,4,5,0,0,6
10644.0,2,275,0,4,5,0,0,6
11122.0,2,175,0,4,5,0,1,7
11122.0,2,175,0,4,5,0,1,7
11648.0,2,170,0,4,5,0,1,7
13760.0,2,175,0,4,5,0,2,8
14286.0,2,180,0,4,5,0,2,8
23702.0,2,170,0,4,5,0,3,9
29343.0,6,160,0,4,5,0,2,22
7130.0,1,165,0,4,6,1,1,4
7281.0,3,165,0,4,6,1,3,13
7517.0,4,170,0,4,6,1,3,20
7806.0,4,170,0,4,6,1,1,18
7806.0,4,175,0,4,6,1,2,19
7888.0,2,285,0,4,6,1,0,6
8009.0,1,160,0,4,6,1,3,5
8041.0,2,170,0,4,6,1,0,6
8041.0,2,170,0,4,6,1,0,6
8041.0,2,170,0,4,6,1,0,6
8041.0,2,175,0,4,6,1,2,8
8041.0,2,175,0,4,6,1,0,6
8303.0,4,485,0,4,6,1,0,17
8304.0,2,260,0,4,6,1,0,6
8326.0,0,165,0,4,6,1,3,3
8326.0,0,165,0,4,6,1,0,0
8326.0,0,170,0,4,6,1,0,0
8436.0,3,155,0,4,6,1,1,11
8436.0,3,165,0,4,6,1,2,12
8436.0,3,170,0,4,6,1,0,10
8436.0,3,175,0,4,6,1,2,12
8436.0,3,180,0,4,6,1,0,10
8436.0,3,180,0,4,6,1,0,10
8448.0,6,160,0,4,6,1,2,22
8448.0,6,160,0,4,6,1,2,22
8448.0,6,165,0,4,6,1,2,22
8448.0,6,175,0,4,6,1,1,21
8671.0,2,165,0,4,6,1,1,7
8671.0,2,165,0,4,6,1,3,9
8671.0,2,170,0,4,6,1,3,9
8671.0,2,170,0,4,6,1,1,7
8671.0,2,170,0,4,6,1,1,7
8671.0,2,175,0,4,6,1,2,8
8723.0,2,245,0,4,6,1,2,8
8775.0,4,400,0,4,6,1,2,19
9302.0,2,180,0,4,6,1,2,8
9438.0,2,285,0,4,6,1,3,9
9591.0,3,175,0,4,6,1,2,12
9901.0,0,165,0,4,6,1,2,2
9901.0,0,165,0,4,6,1,1,1
9928.0,2,165,0,4,6,1,3,9
9928.0,2,175,0,4,6,1,1,7
10644.0,2,275,0,4,6,1,0,6
10644.0,2,275,0,4,6,1,0,6
10968.0,6,160,0,4,6,1,1,21
11122.0,2,175,0,4,6,1,1,7
6361.0,2,165,0,4,4,2,1,7
7130.0,1,165,0,4,4,2,1,4
7281.0,3,165,0,4,4,2,3,13
7517.0,2,165,0,4,4,2,3,9
7517.0,2,170,0,4,4,2,1,7
7517.0,2,170,0,4,4,2,1,7
7888.0,2,285,0,4,4,2,0,6
8009.0,1,160,0,4,4,2,3,5
8041.0,2,170,0,4,4,2,0,6
8041.0,2,170,0,4,4,2,0,6
8041.0,4,170,0,4,4,2,1,18
8041.0,4,175,0,4,4,2,2,19
8041.0,2,175,0,4,4,2,2,8
8041.0,2,175,0,4,4,2,0,6
8303.0,4,485,0,4,4,2,0,17
8326.0,0,165,0,4,4,2,3,3
8326.0,0,165,0,4,4,2,1,1
8326.0,0,170,0,4,4,2,0,0
8436.0,3,175,0,4,4,2,2,12
8436.0,3,180,0,4,4,2,0,10
8448.0,6,160,0,4,4,2,2,22
8448.0,6,160,0,4,4,2,2,22
8448.0,6,165,0,4,4,2,2,22
8515.0,4,170,0,4,4,2,3,20
8564.0,2,260,0,4,4,2,0,6
8658.0,6,175,0,4,4,2,1,21
8671.0,2,165,0,4,4,2,3,9
8671.0,2,170,0,4,4,2,3,9
8671.0,2,175,0,4,4,2,1,7
8723.0,2,245,0,4,4,2,2,8
8795.0,2,285,0,4,4,2,3,9
9113.0,0,165,0,4,4,2,0,0
9564.0,2,275,0,4,4,2,0,6
9591.0,3,165,0,4,4,2,2,12
9591.0,3,170,0,4,4,2,0,10
9615.0,4,400,0,4,4,2,2,19
9828.0,2,175,0,4,4,2,1,7
9928.0,2,180,0,4,4,2,2,8
11178.0,6,160,0,4,4,2,1,21
11444.0,3,155,0,4,4,2,1,11
11444.0,3,175,0,4,4,2,2,12
11444.0,3,180,0,4,4,2,0,10
12841.0,0,165,0,4,4,2,2,2
21029.0,2,275,1,4,4,2,0,6
7281.0,3,165,0,4,0,3,3,13
7384.0,2,165,0,4,0,3,1,7
7517.0,2,165,0,4,0,3,3,9
7517.0,2,170,0,4,0,3,3,9
7517.0,4,170,0,4,0,3,3,20
7888.0,2,285,0,4,0,3,0,6
8009.0,1,160,0,4,0,3,3,5
8041.0,4,175,0,4,0,3,2,19
8041.0,2,175,0,4,0,3,2,8
8041.0,2,180,0,4,0,3,2,8
8303.0,4,485,0,4,0,3,0,17
8326.0,0,165,0,4,0,3,2,2
8326.0,0,170,0,4,0,3,0,0
8436.0,3,165,0,4,0,3,2,12
8448.0,6,160,0,4,0,3,2,22
8448.0,6,160,0,4,0,3,2,22
8448.0,6,165,0,4,0,3,2,22
8671.0,2,165,0,4,0,3,3,9
8808.0,2,285,0,4,0,3,3,9
9111.0,4,400,0,4,0,3,2,19
9591.0,3,175,0,4,0,3,2,12
9591.0,3,175,0,4,0,3,2,12
9669.0,2,260,0,4,0,3,0,6
9928.0,2,170,0,4,0,3,0,6
10198.0,1,165,0,4,0,3,1,4
11222.0,2,275,0,4,0,3,0,6
11700.0,2,275,0,4,0,3,0,6
12500.0,2,170,0,4,0,3,1,7
13760.0,2,175,0,4,0,3,1,7
15969.0,4,170,0,4,0,3,1,18
16493.0,2,170,0,4,0,3,0,6
16493.0,2,175,0,4,0,3,0,6
16493.0,2,175,0,4,0,3,1,7
16795.0,6,175,0,4,0,3,1,21
17723.0,0,165,0,4,0,3,1,1
19687.0,3,155,0,4,0,3,1,11
19687.0,3,180,0,4,0,3,0,10
19687.0,3,180,0,4,0,3,0,10
21310.0,6,160,0,4,0,3,1,21
28696.0,0,165,0,4,0,3,0,0
6413.0,2,245,0,4,2,4,2,8
7130.0,1,165,0,4,2,4,1,4
7517.0,2,170,0,4,2,4,3,9
7517.0,2,170,0,4,2,4,1,7
8009.0,1,160,0,4,2,4,3,5
8041.0,4,170,0,4,2,4,3,20
8041.0,2,170,0,4,2,4,0,6
8041.0,2,175,0,4,2,4,2,8
8041.0,2,175,0,4,2,4,0,6
8436.0,3,165,0,4,2,4,3,13
8436.0,3,180,0,4,2,4,0,10
8448.0,6,160,0,4,2,4,1,21
8448.0,6,175,0,4,2,4,1,21
8513.0,4,485,0,4,2,4,0,17
8515.0,4,175,0,4,2,4,2,19
8658.0,6,160,0,4,2,4,2,22
8671.0,2,165,0,4,2,4,3,9
8671.0,2,175,0,4,2,4,1,7
8671.0,2,175,0,4,2,4,1,7
8804.0,2,260,0,4,2,4,0,6
8925.0,2,295,0,4,2,4,0,6
9039.0,4,170,0,4,2,4,1,18
9302.0,2,165,0,4,2,4,1,7
9302.0,2,170,0,4,2,4,2,8
9591.0,3,155,0,4,2,4,1,11
9591.0,3,165,0,4,2,4,2,12
9591.0,3,175,0,4,2,4,2,12
9918.0,6,165,0,4,2,4,2,22
9938.0,2,285,0,4,2,4,3,9
10623.0,4,400,0,4,2,4,2,19
10741.0,0,165,0,4,2,4,1,1
11444.0,3,175,0,4,2,4,2,12
11444.0,3,180,0,4,2,4,0,10
12228.0,6,160,0,4,2,4,2,22
12841.0,0,170,0,4,2,4,0,0
14846.0,2,170,0,4,2,4,0,6
16493.0,2,165,0,4,2,4,3,9
16493.0,2,180,0,4,2,4,2,8
17933.0,0,165,0,4,2,4,0,0
21031.0,0,165,0,4,2,4,2,2
23964.0,2,275,1,4,2,4,0,6
23964.0,2,275,1,4,2,4,0,6
6069.0,1,165,0,4,3,5,1,4
6126.0,3,165,0,4,3,5,3,13
6361.0,2,165,0,4,3,5,1,7
6361.0,2,170,0,4,3,5,3,9
6361.0,2,170,0,4,3,5,1,7
6887.0,2,165,0,4,3,5,3,9
6887.0,4,170,0,4,3,5,3,20
6887.0,4,170,0,4,3,5,1,18
6991.0,2,165,0,4,3,5,3,9
7130.0,1,160,0,4,3,5,3,5
8041.0,2,170,0,4,3,5,0,6
8041.0,4,175,0,4,3,5,2,19
8041.0,2,175,0,4,3,5,1,7
8304.0,2,285,0,4,3,5,3,9
8373.0,2,285,0,4,3,5,0,6
8436.0,3,155,0,4,3,5,1,11
