FlightGroup,Dept_Day,Taken_Day,Days_To_Dept,Duration,Available,Hopping,Total_Fare
6,1,0,17,275,1.0,0,4897.0
19,0,0,77,400,9.0,0,4667.0
8,2,0,36,245,11.0,0,12132.0
20,6,3,6,170,9.0,0,5995.0
9,4,3,28,280,5.0,0,4011.0
8,4,3,0,175,1.0,0,8041.0
8,1,3,67,180,25.0,0,3925.0
7,3,4,75,165,15.0,0,3264.0
9,1,0,10,165,1.0,0,4644.0
2,1,1,23,165,9.0,0,7381.0
3,6,0,47,165,9.0,0,8483.0
14,0,4,80,170,9.0,0,3527.0
2,1,5,68,165,8.0,0,4021.0
17,4,5,85,485,9.0,0,4417.0
12,1,5,40,175,7.0,0,7281.0
9,0,0,77,165,32.0,0,4644.0
6,6,4,1,175,52.0,0,8041.0
0,6,1,11,165,7.0,0,7171.0
11,1,3,88,160,3.0,0,3270.0
18,0,0,14,170,9.0,0,7806.0
12,1,1,86,175,7.0,0,5160.0
9,5,5,90,165,37.0,0,3264.0
6,4,5,15,275,1.0,0,5125.0
0,1,0,87,165,2.0,0,3548.0
6,4,5,64,175,17.0,0,4644.0
9,6,4,43,165,6.0,0,4944.0
21,4,1,19,160,4.0,0,4878.0
21,1,5,33,160,9.0,0,5403.0
9,3,0,23,170,9.0,0,4944.0
8,6,1,11,175,48.0,0,3925.0
1,5,1,80,165,7.0,0,3548.0
6,0,3,64,260,3.0,0,5073.0
9,3,0,2,165,2.0,0,9302.0
9,3,5,81,285,7.0,0,3788.0
19,4,0,27,400,9.0,0,4983.0
6,6,0,61,170,5.0,0,4644.0
6,5,3,68,170,45.0,0,4644.0
22,4,5,29,160,9.0,0,5403.0
21,2,0,29,175,9.0,0,5403.0
19,2,0,85,400,9.0,0,4667.0
21,1,4,27,160,9.0,0,4668.0
12,1,5,5,165,5.0,0,9591.0
9,1,0,52,285,1.0,0,4549.0
9,2,3,51,170,8.0,0,4644.0
12,5,5,27,175,6.0,0,5160.0
22,1,3,53,160,9.0,0,7398.0
7,3,0,51,175,10.0,0,8041.0
21,2,3,2,160,4.0,0,9708.0
1,1,4,55,170,9.0,0,8483.0
6,5,4,63,170,10.0,0,6887.0
10,4,4,23,180,7.0,0,5160.0
15,1,1,51,175,9.0,0,4839.0
1,3,1,85,165,4.0,0,3548.0
7,2,1,21,165,7.0,0,5554.0
7,0,4,17,175,2.0,0,4377.0
2,6,3,20,165,4.0,0,4756.0
6,1,1,16,285,24.0,0,4011.0
6,5,3,75,290,8.0,0,5106.0
9,1,5,82,165,16.0,0,3264.0
19,1,3,53,175,9.0,0,4945.0
18,1,2,1,170,9.0,0,9039.0
13,1,4,13,165,7.0,0,4530.0
12,0,4,3,175,7.0,0,9591.0
19,2,1,77,175,9.0,0,3579.0
22,5,3,61,160,9.0,0,5508.0
12,3,4,5,175,3.0,0,11444.0
12,0,1,55,165,7.0,0,5160.0
6,6,4,78,275,3.0,0,5788.0
8,2,3,86,175,44.0,0,3925.0
10,3,0,30,180,7.0,0,8121.0
9,4,5,36,285,4.0,0,9047.0
13,1,0,3,165,7.0,0,7281.0
7,6,4,43,165,7.0,0,5554.0
17,6,1,67,485,9.0,0,4417.0
11,5,4,35,160,7.0,0,8121.0
8,4,1,47,180,8.0,0,5554.0
17,1,3,74,485,9.0,1,4983.0
9,5,3,54,165,9.0,0,4644.0
11,1,4,90,160,3.0,0,3270.0
6,4,4,58,275,4.0,1,8824.0
22,3,4,19,165,9.0,0,5403.0
11,0,0,49,160,7.0,0,6651.0
8,5,3,82,175,40.0,0,3925.0
10,6,5,91,180,1.0,0,3270.0
15,2,4,39,175,9.0,0,10089.0
4,4,3,7,165,9.0,0,6069.0
7,5,4,0,170,1.0,0,7517.0
12,0,1,6,175,7.0,0,8436.0
10,2,0,50,180,6.0,0,6126.0
19,3,0,44,175,9.0,0,5575.0
18,5,3,5,170,9.0,0,6887.0
